,DATE,TRADECODE,LAST_TRADE_PRICE,HIGH,LOW,OPEN,CLOSE,YDAY_CLOSE,NUM_TRADES,VALUE_IN_MN,NUM_SHARES,REL_VOL,ATR
0,2020-06-21,GP,238.8,238.8,238.8,238.8,238.8,238.8,113,9.378,39273,,
1,2020-06-22,GP,238.8,238.8,238.8,238.8,238.8,238.8,91,4.318,18082,,
2,2020-06-23,GP,238.8,238.8,238.8,238.8,238.8,238.8,85,5.989,25079,,
3,2020-06-24,GP,238.8,238.8,238.8,238.8,238.8,238.8,77,6.892,28860,,
4,2020-06-25,GP,238.8,238.8,238.8,238.8,238.8,238.8,122,11.046,46257,1.4679850091699227,0.0
5,2020-06-28,GP,238.8,238.8,238.8,238.8,238.8,238.8,111,7.599,31821,1.0600100435219284,0.0
6,2020-06-29,GP,238.8,238.8,238.8,238.8,238.8,238.8,140,12.563,52608,1.4247317925106036,0.0
7,2020-06-30,GP,238.8,238.8,238.8,238.8,238.8,238.8,142,13.392,56081,1.3003961780470754,0.0
8,2020-07-02,GP,238.8,238.8,238.8,238.8,238.8,238.8,60,4.069,17038,0.41802790277178486,0.0
9,2020-07-05,GP,238.8,238.8,238.8,238.8,238.8,238.8,68,5.829,24410,0.6707401270367301,0.0
10,2020-07-06,GP,238.8,238.8,238.8,238.8,238.8,238.8,69,5.051,21152,0.6174212790925093,0.0
11,2020-07-07,GP,238.8,238.8,238.8,238.8,238.8,238.8,100,5.729,23992,0.8407690049897271,0.0
12,2020-07-08,GP,238.8,238.8,238.8,238.8,238.8,238.8,92,6.606,27662,1.2105996188242194,0.0
13,2020-07-09,GP,239.5,244.0,238.8,238.8,239.8,238.8,2020,291.443,1215338,4.6311074245688975,1.0399999999999978
14,2020-07-12,GP,243.8,245.0,241.0,241.0,244.2,239.8,1203,78.541,322221,1.0137723623409145,2.2799999999999954
15,2020-07-13,GP,240.4,245.0,239.5,244.2,239.9,244.2,1725,84.198,348466,0.9024108446208821,3.3799999999999955
16,2020-07-14,GP,239.2,240.6,238.9,240.6,239.1,239.9,1099,52.267,218181,0.5093703404118468,4.439999999999992
17,2020-07-15,GP,241.3,245.0,240.8,243.0,242.1,239.1,2118,137.373,566393,1.0668554351979274,5.459999999999991
18,2020-07-16,GP,242.0,248.0,241.3,248.0,241.9,242.1,1368,84.909,350600,0.9708590219717899,6.199999999999994
19,2020-07-19,GP,243.7,245.0,241.4,243.0,244.1,241.9,1379,63.975,262674,0.7567029868329541,5.679999999999995
20,2020-07-20,GP,246.6,247.5,243.5,244.5,245.9,244.1,1972,124.119,504170,1.3414122768527783,5.699999999999994
21,2020-07-21,GP,246.7,248.8,245.3,245.9,246.5,245.9,1234,62.916,254704,0.6646636748561141,5.580000000000001
22,2020-07-22,GP,246.4,247.4,245.7,246.5,246.7,246.5,1566,108.232,439051,1.218414458145991,4.900000000000006
23,2020-07-23,GP,251.8,252.0,246.1,246.1,250.8,246.7,2553,174.154,699774,1.6325019310231048,4.300000000000006
24,2020-07-26,GP,258.9,258.9,251.0,251.0,258.1,250.8,2619,169.053,659712,1.3238831964966464,6.020000000000005
25,2020-07-27,GP,255.0,261.9,252.3,259.9,254.9,258.1,1912,116.184,452448,0.9213070087655165,7.119999999999999
26,2020-07-28,GP,254.7,256.5,253.1,255.0,254.2,254.9,1221,97.507,382737,0.7329920466675687,7.1800000000000015
27,2020-07-29,GP,253.8,256.0,253.2,255.0,254.4,254.2,1227,88.797,349241,0.6876079263429329,7.4
28,2020-07-30,GP,259.0,259.9,254.4,255.0,258.5,254.4,1907,144.586,560355,1.173345755014794,7.359999999999997
29,2020-08-03,GP,264.5,264.7,258.6,259.0,263.5,258.5,1728,112.508,428421,1.0052860885446637,6.979999999999995
30,2020-08-04,GP,263.0,267.9,263.0,264.8,263.5,263.5,2328,161.003,608059,1.3319220186597969,6.639999999999998
31,2020-08-05,GP,0.0,0.0,0.0,0.0,263.5,263.5,0,0.0,0,0.0,58.33999999999999
32,2020-08-06,GP,254.7,258.0,253.0,258.0,254.2,263.5,2906,215.873,848580,1.7025490165149768,59.87999999999998
33,2020-08-09,GP,271.7,276.0,254.2,255.0,271.1,254.2,2654,192.248,720342,1.4102037463029906,63.09999999999999
34,2020-08-10,GP,275.9,278.7,264.1,271.5,277.3,271.1,3031,281.199,1025714,1.653483440998303,65.93999999999998
35,2020-08-12,GP,289.0,289.0,277.0,278.0,288.3,277.3,2232,211.752,747120,1.1750004439156916,67.63999999999999
36,2020-08-13,GP,291.0,298.0,288.0,290.0,290.0,288.3,1893,191.865,657905,0.8777495866641903,19.079999999999984
37,2020-08-16,GP,290.3,294.0,286.0,294.0,291.7,290.0,1808,153.459,528693,0.7445685346178592,18.579999999999984
38,2020-08-17,GP,286.2,293.4,286.0,292.4,287.2,291.7,1868,203.103,700500,0.9751646376243784,15.699999999999978
39,2020-08-18,GP,285.4,288.0,278.0,288.0,283.8,287.2,2517,196.68,697641,1.0277376290550646,13.539999999999974
40,2020-08-19,GP,287.6,292.0,284.6,286.9,285.7,283.8,1040,78.252,272881,0.4751997609791111,11.439999999999975
41,2020-08-20,GP,286.9,290.0,284.2,285.0,286.1,285.7,1049,75.914,264520,0.5365644719878768,8.539999999999974
42,2020-08-23,GP,295.5,298.0,287.0,287.0,294.0,286.1,1739,159.714,544976,1.1189735211157088,9.399999999999977
43,2020-08-24,GP,300.0,302.5,293.0,295.0,299.5,294.0,2263,225.901,754994,1.5336928907301268,11.199999999999978
44,2020-08-25,GP,314.5,314.5,299.5,301.7,312.5,299.5,2606,241.152,783566,1.5439992931531898,12.55999999999998
45,2020-08-26,GP,317.0,318.7,312.9,315.0,315.5,312.5,2192,182.213,576103,1.0295752937639988,14.919999999999982
