,Stock,Days held,Number of shares,Buy price per share,Sell price per share,Entry,Exit,R,Available capital
0,AMANFEED,9,3,27.068,26.532,82.01604,78.80004000000001,-0.03215999999999994,5960.860359999999
1,GRAMEENS2,7,166,11.312,10.988999999999999,1896.56992,1805.9322599999998,-0.906376600000001,3713.425269999999
2,MALEKSPIN,21,7,12.928,12.672,91.40096000000001,87.81696000000001,-0.03584000000000003,1894.8793499999992
3,BBS,26,4,16.362,16.137,66.10248,63.90252,-0.021999599999999973,1166.1641699999993
4,PREMIERLEA,15,40,4.949000000000001,5.148,199.93960000000004,203.86079999999998,0.03921199999999942,315.85362999999927
5,TAKAFULINS,29,19,31.815,34.65,610.52985,651.7665000000001,0.4123665000000005,802.6699599999993
6,NATLIFEINS,26,2,264.519,226.314,534.32838,448.10172,-0.8622666000000003,474.98562999999933
7,APOLOISPAT,36,222,3.535,6.93,792.6177,1523.0754,7.304576999999999,1546.0547199999992
8,ITC,39,24,32.825,33.461999999999996,795.6780000000001,795.0571199999999,-0.006208800000001702,1892.267839999999
9,NURANI,41,12,7.777,7.7219999999999995,94.25724,91.73735999999998,-0.025198800000000146,1336.751749999999
10,BEACHHATCH,64,4,13.735999999999999,14.453999999999999,55.49343999999999,57.23783999999999,0.017443999999999987,229.0353899999991
11,SAIHAMTEX,56,4,24.745,24.75,99.9698,98.01,-0.019598000000000015,327.0453899999991
12,HWAWELLTEX,37,21,33.33,35.541,706.9293,738.8973899999999,0.3196808999999985,1065.942779999999
13,SSSTEEL,21,12,13.635,12.078,165.2562,143.48663999999997,-0.2176956000000004,1209.429419999999
14,UNIQUEHRL,44,2,39.895,39.105,80.5879,77.4279,-0.03160000000000011,909.420319999999
15,RUNNERAUTO,58,4,46.561,51.579,188.10644,204.25284,0.161464,381.03733999999895
16,EASTERNINS,58,10,45.248,86.42699999999999,457.0048,855.6273,3.986225,1236.664639999999
17,BIFC,52,76,2.6260000000000003,5.148,201.57176,387.33552,1.8576375999999997,576.4594699999989
18,FEKDIL,13,45,14.241,11.385,647.25345,507.20175000000006,-1.4005169999999998,1083.661219999999
19,PRIMEFIN,42,46,7.474,9.702,347.24204000000003,441.82908,0.9458703999999994,859.467009999999
20,UNIONCAP,38,33,4.949000000000001,7.425,164.95017000000004,242.57475,0.7762457999999995,1102.0417599999992
21,YPL,14,44,14.039,12.177000000000001,623.89316,530.43012,-0.9346303999999998,1632.4718799999991
22,AGRANINS,81,20,25.25,31.68,510.05,627.264,1.17214,652.0582799999991
23,HFL,28,21,21.311,20.592,452.00631,428.10767999999996,-0.23898630000000026,1080.165959999999
24,ICB,74,22,73.73,91.773,1638.2806000000003,1998.81594,3.6053533999999967,3078.981899999999
25,PTL,24,8,66.963,56.826,541.0610399999999,450.06192,-0.9099911999999994,3529.043819999999
26,MARICO,55,0,1878.499,2069.1,0.0,0.0,0.0,453.7483499999987
27,ICBAGRANI1,74,125,6.6659999999999995,7.226999999999999,841.5824999999999,894.3412499999998,0.5275874999999997,1348.0895999999984
28,PREMIERCEM,20,1,61.509,60.291,62.12409,59.688089999999995,-0.02436000000000007,557.4223299999984
29,KBPPWBIL,26,58,9.393,7.7219999999999995,550.2419400000001,443.39723999999995,-1.0684470000000017,502.60272999999836
30,SAMORITA,11,31,61.206,60.291,1916.3598600000003,1850.33079,-0.6602907000000028,2226.2370999999985
31,FIRSTFIN,15,153,7.07,6.435,1092.5271,974.70945,-1.1781765000000006,2341.6143099999986
32,MARICO,5,0,2488.64,2098.8,0.0,0.0,0.0,495.2333099999987
33,UNILEVERCL,21,0,2201.8,2811.699,0.0,0.0,0.0,495.2333099999987
34,CONTININS,28,11,44.844,42.768,498.21684,465.74352,-0.3247332,960.9768299999987
35,NITOLINS,20,10,64.64,55.44,652.864,548.856,-1.0400800000000003,1083.4310299999986
36,ISLAMIINS,50,10,37.37,44.55,377.437,441.045,0.6360800000000001,1524.4760299999987
37,DAFODILCOM,23,2,62.721000000000004,62.865,126.69642,124.4727,-0.022237200000000002,1648.9487299999987
38,DULAMIACOT,15,13,65.448,54.45,859.33224,700.7715000000001,-1.585607399999999,1481.9211599999987
39,PRAGATIINS,59,8,55.55,54.648,448.844,432.81216,-0.1603183999999999,1914.7333199999987
40,GHCL,51,15,32.825,31.68,497.29875000000004,470.448,-0.2685075000000006,1015.0850099999986
41,RNSPIN,5,181,4.747,3.8609999999999998,867.79907,691.85259,-1.7594648000000006,1168.3247999999985
42,AAMRANET,54,16,43.127,39.401999999999994,696.93232,624.1276799999999,-0.7280464000000006,1688.6062999999986
43,SUNLIFEINS,98,90,17.978,21.977999999999998,1634.2002000000002,1958.2397999999998,3.240395999999996,3646.8460999999984
44,ZEALBANGLA,11,2,211.09,136.719,426.40180000000004,270.70362,-1.5569818000000004,2744.230699999999
45,FIRSTSBANK,12,71,10.605,9.207,760.48455,647.16003,-1.1332452000000002,949.6793699999988
46,TUNGHAI,9,166,3.636,2.871,609.61176,471.82014,-1.3779162000000003,1421.4995099999987
47,GPHISPAT,10,19,32.825,27.027,629.9117500000001,508.37787000000003,-1.2153388000000007,1351.5826899999988
48,UCB,7,32,16.665,14.157,538.6128,448.49376,-0.9011903999999998,1800.0764499999989
49,PREMIERLEA,87,95,6.3629999999999995,6.534,610.5298499999999,614.5227,0.039928500000000894,667.1678499999988
50,ALLTEX,97,74,8.08,9.207,603.8992,674.5048200000001,0.7060562000000016,849.6784399999989
51,TOSRIFA,61,54,13.433000000000002,11.385,732.6358200000001,608.6420999999999,-1.2399372000000017,1458.3205399999988
52,GOLDENSON,18,35,14.544,12.87,514.1304,445.9455,-0.6818490000000003,869.8846399999986
53,EPGL,31,1,102.818,46.233000000000004,103.84618,45.77067,-0.5807551,915.6553099999986
54,BANGAS,16,1,118.069,116.325,119.24969,115.16175,-0.04087940000000003,1030.8170599999987
55,EGEN,13,7,41.410000000000004,26.928,292.7687,186.61104,-1.0615766000000002,361.0541499999986
56,GBBPOWER,79,62,14.544,25.641,910.7452800000001,1573.84458,6.630992999999998,1934.8987299999985
57,ARAMIT,11,4,256.035,227.7,1034.3814000000002,901.6919999999999,-1.3268940000000031,1977.5645199999985
58,DELTALIFE,30,11,71.71,63.36,796.6981,689.9904,-1.0670769999999994,2110.4783099999986
59,CROWNCEMNT,42,9,58.479,44.55,531.57411,396.9405,-1.3463361000000003,1436.3138099999985
60,MIRACLEIND,14,15,30.603,25.641,463.63545000000005,380.76884999999993,-0.8286660000000012,1817.0826599999984
